rank,corporation,rating,delta
~  ,Interstellar      ,925,0
~  ,Farmville         ,925,0
~  ,Star Wars         ,924,0
~  ,Core Infliction   ,923,0
~  ,AlfaOmega         ,923,0
~  ,Galactic Force    ,923,0
~  ,帝国军事学院            ,923,0
~  ,Fomorians Eire    ,922,0
~  ,EZCO              ,922,0
~  ,VALLKIRIA         ,920,0
~  ,Ritter der Nuss   ,920,0
~  ,DarkMoon          ,919,0
 77,Star Dust         ,919,9
~  ,Aobpothbie Nioan  ,919,25
~  ,Steak n' Shake    ,918,0
 78,Dumpster Fire     ,918,76
 79,海賊ギルド             ,918,0
~  ,Ironbear Legion   ,918,0
~  ,STAR TERROR CZ    ,917,0
~  ,Corp. Estelar     ,917,0
 80,Rising star       ,916,0
~  ,T E H b           ,916,0
~  ,DegobaSystem      ,916,0
~  ,Gwiezdna Horda    ,916,0
~  ,Kobol             ,915,0
~  ,Hamburg AG 2      ,915,0
 81,LOST PIRATES      ,915,-16
~  ,KLM               ,914,0
~  ,Sky Walkers       ,914,0
~  ,Justice League    ,914,0
~  ,EGO               ,914,0
~  ,Defiant wolfs     ,913,0
~  ,LossFarm No. 648  ,913,-32
~  ,Nmnepnr           ,913,0
 82,ENFORCERS         ,913,0
~  ,Pandora's Star    ,913,0
~  ,Deutsch Staat D   ,913,0
~  ,Nooooobs          ,912,0
~  ,Anke none         ,912,0
~  ,ShalaskanEmpire   ,911,0
~  ,Italian Stars     ,911,0
~  ,NoweUkladyll      ,911,0
 83,G.M.U.            ,911,0
~  ,GalaxHitchikers   ,910,0
~  ,XenoCorp          ,909,0
~  ,Battle Academy    ,908,0
 84,VoidCorp          ,907,-13
~  ,SYNDICATE         ,907,0
~  ,Diplomats Union   ,907,0
 85,Kpanhnn Kocmoc    ,906,-16
~  ,The Fracture      ,905,0
~  ,Anarchy           ,904,0
~  ,exirium           ,903,0
~  ,The trade pub     ,903,0
~  ,Turk Yildizlari   ,903,0
~  ,White Solaris     ,903,0
~  ,Abanoh            ,902,0
~  ,BattleCo          ,901,0
~  ,Sol               ,900,9
~  ,Flight and War    ,900,0
~  ,Green Alliance    ,900,0
~  ,Legion Estelar    ,900,0
~  ,KOPNOPAUNR 3NA    ,900,0
~  ,Yellow Dwarf      ,900,0
~  ,星䂓地㺷              ,900,0
 86,WFOS              ,900,0
~  ,Españoles 2       ,900,0
 87,Bloodtide         ,900,25
~  ,W.O.A             ,900,0
~  ,Squadron          ,899,0
 88,Das Imperium      ,899,0
~  ,Romania           ,899,0
~  ,LIETUVA           ,898,0
~  ,Regulus           ,898,0
~  ,NuevaFederacion   ,898,0
~  ,Evil Empire       ,898,0
~  ,11th Engineers    ,898,0
~  ,Teeny's WS        ,897,0
~  ,AMG               ,897,0
~  ,Hellfire Club     ,897,0
~  ,Tnxnn Omyt        ,896,0
~  ,Guardia Oscura    ,896,0
~  ,Star Gate         ,896,0
~  ,bob               ,896,0
~  ,Simply Uranus     ,896,0
~  ,AltCorp Inc       ,895,0
~  ,Panola Corp.      ,895,0
~  ,77=49             ,895,0
~  ,Heyaepxnmble      ,895,0
~  ,aranas-vermelha   ,895,0
~  ,Acгapд            ,895,0
~  ,RESISTENCIA       ,895,0
~  ,Foreshadowing     ,895,0
~  ,Created           ,895,0
~  ,Polaris Corp.     ,894,0
~  ,The Promenade     ,894,0
~  ,PHOENIX           ,894,0
 89,Black Mirror Co   ,894,0
~  ,The Herd          ,894,0
~  ,Brazilcorp.       ,893,0
~  ,M3K               ,893,0
 90,혁명군               ,893,28
~  ,BLOK EKIPA        ,893,0
~  ,Russian Corp      ,893,0
~  ,GalaxyGuardians   ,892,0
~  ,Draconis          ,892,0
~  ,Star War School   ,892,0
~  ,Soul System       ,892,0
~  ,OPA               ,892,0
~  ,RedFoxCorp        ,892,0
~  ,space rats        ,892,0
~  ,Majapahit         ,892,0
 91,kdy               ,892,-31
~  ,Helion Prime      ,892,0
~  ,TITANS            ,891,0
~  ,Hun Avengers      ,891,0
~  ,SveaEmpire        ,891,0
~  ,Speakeasy         ,891,0
~  ,The Guardians     ,890,0
~  ,Simply Chaos      ,890,0
~  ,UFP               ,890,0
~  ,Likapa            ,890,0
~  ,N7 Elite Forces   ,890,0
~  ,42 Nova Corps.    ,890,0
~  ,COЮЗ Akanemnr     ,889,0
~  ,New Utopia        ,889,0
~  ,Zanganos          ,889,0
~  ,ALIANZA 4         ,888,0
~  ,The Claw          ,888,0
~  ,Dark Age          ,888,0
~  ,White Dwarf       ,888,0
~  ,Hermes            ,888,0
~  ,BR Gear           ,888,0
~  ,Hun Generals      ,887,0
~  ,星舰地球              ,887,-7
~  ,R.S.F.            ,887,0
~  ,On en a Gros !    ,886,0
~  ,A Team            ,886,0
~  ,Dragon Eclipse    ,886,0
~  ,pycb              ,885,0
 92,Dropbears Inc     ,885,-87
~  ,Daemon Runners    ,885,-6
~  ,Star Destroyers   ,885,0
~  ,The Outfit        ,884,0
~  ,White Star Inc.   ,884,0
 93,Anomaly           ,884,0
~  ,7SinS             ,884,0
~  ,Pulsar            ,884,0
~  ,Rusty legacy      ,884,0
~  ,We R Bad          ,884,0
~  ,Legionnaires      ,884,0
~  ,仙女座星雲             ,884,0
~  ,Legion Imperial   ,883,0
~  ,Sektion 31        ,883,0
~  ,Durham Dragons    ,883,0
~  ,Rabid Butterfly   ,883,0
~  ,Silver Guard      ,883,0
~  ,Alpha Nation      ,882,0
~  ,RussianRangers    ,881,0
~  ,Corp Du Jour      ,881,0
~  ,Void              ,881,0
 94,IX Nernoh         ,881,0
~  ,OntarioDomicile   ,881,0
~  ,401(K)            ,881,0
~  ,群星联合会             ,881,0
~  ,Crazy Monkeys     ,881,0
 95,Rocinante         ,880,0
~  ,JerK              ,880,0
~  ,Battlestar FR     ,880,0
~  ,Alpha Tauri       ,880,0
~  ,Bo3poxaehne       ,880,0
~  ,YAL               ,880,32
~  ,United Stars      ,879,0
~  ,TSI Inc.          ,879,0
 96,Void Dominion     ,879,-7
~  ,Nюбители пива     ,878,0
~  ,Proteus Tech      ,878,38
~  ,USA Corp          ,878,0
~  ,Peak Extraction   ,878,0
~  ,Omega Nation      ,878,0
~  ,RSR Bravo         ,878,0
~  ,Curcubeu          ,877,0
~  ,Farming Inc.      ,877,0
~  ,alienigenas       ,877,0
~  ,The Force         ,876,0
~  ,Dreckiger Rest    ,876,0
~  ,Axiom             ,875,0
~  ,Alpaca Haven      ,875,0
~  ,SNSS              ,875,0
~  ,Les Chevaliers    ,875,0
~  ,中国家民              ,875,0
~  ,OntarioDistrict   ,875,0
~  ,I.N.D.I.G.O       ,875,0
~  ,★后?明?星?           ,874,0
~  ,RSI               ,874,0
~  ,Prophecy          ,874,0
~  ,Crazy Elite       ,874,0
 97,PocKocMoc         ,873,0
~  ,太空的猫              ,873,0
~  ,Parhapek          ,872,0
 98,MAQUIS            ,871,0
 99,Cnythnk           ,870,-7
~  ,Federation        ,870,0
~  ,Discordia         ,870,0
~  ,PODER ETERNO      ,870,0
~  ,Free Thinkers 2   ,870,0
~  ,우주미아              ,869,0
~  ,Galactic Otters   ,868,0
~  ,Big Hammer        ,868,0
~  ,Winged Phoenix    ,868,0
~  ,無盡 宿命             ,868,28
~  ,ANZAC Warriors    ,868,0
~  ,Serenity          ,867,-4
~  ,地球朕合              ,867,27
~  ,Star Fox          ,867,0
~  ,听风秋月              ,867,27
100,Galactic Empire   ,867,0
~  ,Bcenehckne 40%    ,867,0
101,Knights Ronin     ,867,0
~  ,Dragon Army       ,866,0
~  ,UnionofSpace      ,865,0
~  ,Highland Ind.     ,864,0
~  ,华夏星海              ,864,0
102,ROGUE ONE         ,863,0
~  ,第一序列              ,861,0
~  ,Peaky Blinders    ,861,0
~  ,Space Pirate      ,861,0
~  ,SALTARDIS         ,860,0
~  ,Abh               ,860,0
~  ,CommCody & LPA    ,860,0
~  ,USA               ,860,0
~  ,West Worlders     ,860,0
~  ,INFINITY STAR     ,859,-24
103,Special Force     ,859,-14
104,Deadspace         ,859,0
~  ,Любители Пива     ,859,-16
~  ,2nd Squad         ,859,0
~  ,Seila             ,859,0
~  ,Gummibarenbande   ,859,0
~  ,YETI Collective   ,859,0
~  ,CTG               ,858,0
105,FreeSpcAlliance   ,858,0
~  ,Hipernova         ,858,0
~  ,Minutemen         ,858,0
~  ,lucky cats        ,856,0
106,Star Jumpers      ,856,0
~  ,COЮЗ              ,856,0
~  ,UNSC              ,855,-5
~  ,Killer Shadow     ,855,0
~  ,Variants          ,855,0
~  ,Tycho Corp        ,855,0
~  ,Jaggernaut        ,855,0
~  ,Newbs             ,853,0
107,Death Flight      ,853,0
~  ,Dauntless         ,852,-12
~  ,Space Balls       ,852,0
~  ,debutant fr       ,851,0
~  ,United Galaxies   ,851,0
108,KARI              ,851,23
~  ,Ykp ihtpobeptn    ,851,0
~  ,111               ,851,11
~  ,Ten Forward       ,851,0
~  ,Nebula            ,850,0
~  ,Industrial W.O    ,850,-8
~  ,Wispered Storm    ,850,0
~  ,Glashan           ,848,0
109,FAIR              ,847,-8
~  ,C'est pas faux!   ,847,0
~  ,Providence        ,845,0
~  ,Galactic gods     ,845,0
~  ,Aepxaba Pycb      ,845,0
~  ,CCCP 2.0          ,845,0
~  ,지고 받자             ,845,0
~  ,Stella Glow       ,845,0
~  ,Les Tilotest      ,844,0
~  ,BRASIL STAR       ,844,0
110,Lacuna Ind.       ,844,0
~  ,Lights Off        ,844,0
111,Rogue Corp        ,843,0
~  ,NERF TOY'S        ,843,0
~  ,Swiss Chillers    ,843,0
~  ,RATAS             ,842,0
~  ,No Orbit          ,842,0
112,Hydra             ,841,-1
~  ,TGY Inc.          ,841,0
~  ,Shadow Lords      ,840,0
~  ,CCCP              ,840,0
~  ,水星联合织             ,839,0
113,ITA               ,839,-3
114,CbrtbleHeroAhnkn  ,838,0
~  ,Gallaecia         ,837,-3
~  ,銀河戦狼              ,837,-3
~  ,Spectre           ,837,-3
~  ,Lacuna Holdings   ,836,-4
~  ,Sons of Liberty   ,836,0
~  ,Corp. Estelar 2   ,835,-5
~  ,The Gathering     ,835,-5
115,Sprite            ,834,0
~  ,The Seperatists   ,834,-6
~  ,Three Rivers      ,834,-6
~  ,꿀벌 왕국             ,834,-6
~  ,深空补给港             ,833,-26
~  ,Duchy Arrakis     ,831,-9
~  ,Avabel Online 2   ,831,-9
~  ,Hawa Bcenehhar    ,831,-9
~  ,AHДPOMEДA         ,830,-10
116,Madison Holding   ,830,-3
~  ,GermanSpaceUno.   ,829,-6
117,First Squad       ,828,-11
~  ,PACCBET           ,827, -
~  ,GDZ               ,825, -
118,Rocket-Babies     ,825,-11
119,Astra Ultima      ,824, -
~  ,THE FOUNDATION    ,817,-23
120,Starsailors       ,817,-8
